Location,Area
the Banning Industrial Area,Port of Los Santos
Bay City Bank / Maze Bank,Del Perro
Beaver Bush Ranger Station,Vinewood
Bolingbroke Penitentiary,"Los Santos County, East"
Brito's Tacos,Food Court
Chumash Pier,Chumash
the City Vault,Vinewood
Click Lovers,Chamberlain Hills
Cougar Ave,Morningwood
Covenant Ave,Davis
Davis Fire Station,Davis
Davis Medical Center,Davis
Del Perro Beach,Del Perro
Del Perro Pier,Del Perro
Eclipse Towers,Rockford Hills
El Gordo Lighthouse,"Blaine County, East"
Elysian Island,Port of Los Santos
Fort Zancudo,Zancudo
Forum Drive,Chamberlain Hills
Frank's,Food Court
Funhouse Foods,Food Court
the Galileo Observatory,Vinewood
Grime HQ,Port of Los Santos
Grove Street,Davis
Gruppe 6 HQ,"Los Santos, Downtown"
Humane Labs,"Blaine County, East"
Karnage Motorshop,Sandy Shores
Kintsugi Motorworks,Mirror Park
the Kortz Center,"Los Santos County, West"
Lago Zancudo,Zancudo
Land Act Dam,Tataviam Mountains
Legion Square,Downtown
LifeInvader,Rockford Hills
the Liquid Library,Mirror Park
the Los Santos International Airport,La Puerta
Marlowe Vineyard,Tongva Hills
the Maze Bank Arena,La Puerta
Mission Row PD,Mission Row
Mosley's Auto,Chamberlain Hills
the old City Hall,Rockford Hills
the Paleto Bank,Paleto Bay
Paleto Forest,Paleto Bay
Paleto Forest Sawmill,Paleto Bay
Pillbox Medical Center,Pillbox Hill
the Playa Vista Hotel,Pacific Bluffs
Procopio Drive,Paleto Bay
the Richman Meadows Golf Course,Richman
Rockford Center,Rockford Hills
Ron Alternates Wind Farm,"Los Santos, East"
Roy Lowenstein Boulevard,Davis
Sanitation,La Puerta
Senior Buns,Food Court
Sewer City,"Los Santos, South"
the Shipping Terminal,Port of Los Santos
Slime Shack,Food Court
South Arsenal Street,La Puerta
Stage 1,Backlot City
Stage 2,Backlot City
Stage 3,Backlot City
Stage 4,Backlot City
Suds Law Laundromat,Chamberlain Hills
Surprise Facial (Spa),Chamberlain Hills
the Apartments,Little Seoul
the Billabong,Vespucci
the Funhouse,Grapeseed
the Hunting Lodge,Paleto Bay
Paleto Bistro,Paleto Bay
the Vinewood Sign,Vinewood
the Tow Yard,La Puerta
Vangelico Jewelry Store,Rockford Hills
the Vanilla Unicorn,Strawberry
Vespucci Beach,Vespucci
the Vespucci Canals,Vespucci
the Vespucci Tattoo Shop,Vespucci
the Vinewood Racetrack,East Vinewood
the Vinewood Tattoo shop,Downtown Vinewood
Weazel News,Little Seoul
